FID,Eastings,Northings,LST,NDVI,NDMI
378,611147.9551,1336395.962,29.4400997,0.334531,0.0014378
379,611404.8376,1335892.231,28.4972992,0.46427,0.175436
380,617789.5757,1335190.833,33.1217003,0.136033,-0.0625536
381,617797.016,1335070.18,32.9165993,0.0787611,-0.136074
382,617913.3367,1335368.475,33.3666992,0.160372,-0.14719
383,619173.5628,1339366.154,34.8391991,0.158309,-0.141973
384,619376.7835,1339677.07,32.9968987,0.143103,-0.086852
385,606494.8116,1364033.271,33.2220993,0.155199,-0.0841771
386,606517.3901,1363959.136,31.3647995,0.382211,-0.0060802
387,597125.1607,1341594.096,33.8349991,0.222501,-0.106689
388,609139.6288,1361302.63,30.2229996,0.186275,-0.13228
389,620760.8765,1358842.975,33.7729988,0.141622,-0.181164
390,620563.6495,1358807.931,34.6786995,0.103459,-0.162252
391,621194.0716,1359017.222,34.5839996,0.103164,-0.174599
392,620978.7019,1358971.826,34.2266998,0.113384,-0.160992
393,625059.5583,1363425.674,33.6287994,0.116693,-0.154917
394,625282.0475,1363386.865,33.3555984,0.111443,-0.127822
395,624970.3115,1363901.902,32.4560013,0.129627,-0.118911
396,630328.0306,1364382.041,34.2489014,0.110417,-0.166752
397,630483.3561,1364472.702,34.3704987,0.0708313,-0.100376
398,630493.1273,1364206.14,33.8574982,0.0411083,-0.163961
399,630348.123,1364246.914,34.4782982,0.0849349,-0.182498
400,630370.783,1364496.678,33.9991989,0.111565,-0.0925386
401,630169.4137,1364436.94,35.3769989,0.0147601,-0.174794
402,622010.9011,1362771.82,33.9300995,0.245525,-0.0830518
403,622133.9732,1362954.747,34.6767006,0.0770224,-0.218057
404,622013.0516,1362259.72,34.5554008,0.113608,-0.194177
405,630717.1104,1364313.899,35.5671997,0.14861,-0.177074
406,630744.9396,1364112.862,34.8065987,0.0446703,-0.182087
407,630192.0641,1364504.361,35.5433006,0.102737,-0.145404
408,630570.1674,1364641.289,35.3529015,0.0888319,-0.112336
409,621370.0307,1362995.403,33.7995987,0.112489,-0.175482
410,621637.0029,1363087.832,33.3557014,0.121665,-0.171173
411,632396.9267,1363577.618,35.3683014,0.0924731,-0.201118
412,621329.2578,1362754.489,34.3149986,0.118186,-0.175324
413,621524.9147,1362322.411,34.8064995,0.0995289,-0.169591
414,621748.4759,1362221.563,33.6731987,0.135282,-0.148432
415,616971.1288,1360876.197,33.1775017,0.114027,-0.136513
416,621683.193,1362749.893,32.976799,0.162005,-0.113003
417,617312.7461,1361209.884,33.7820015,0.105356,-0.163278
418,621636.0386,1362501.566,33.0996017,0.15545,-0.0869861
419,616871.1411,1360603.723,33.8616982,0.109202,-0.173297
420,632744.6437,1363535.974,34.0276985,0.204571,-0.117807
421,616953.0514,1360811.365,32.9122009,0.184723,-0.0857893
422,632628.9414,1363674.409,34.6082001,0.0935834,-0.168926
423,632748.3434,1363310.868,34.5223007,0.12526,-0.173337
