FID,Eastings,Northings,No_of_Larv,LST,NDVI,NDMI
415,616971.1288,1360876.197,6,25.8320999,0.324959,0.0140268
416,621683.193,1362749.893,3,26.4995003,0.223464,-0.0297468
417,617312.7461,1361209.884,2,27.2194004,0.285981,-0.0524721
418,621636.0386,1362501.566,10,26.007,0.223101,-0.05256
419,616871.1411,1360603.723,9,26.4193993,0.400911,0.0317877
420,632744.6437,1363535.974,45,28.1807003,0.467573,0.100509
421,616953.0514,1360811.365,5,25.8367996,0.414355,0.0419591
422,632628.9414,1363674.409,12,28.3659992,0.33169,-0.0091687
423,632748.3434,1363310.868,45,27.0387993,0.461728,0.0937644
424,632746.59,1363420.854,18,27.2374992,0.426862,0.0848627
425,632725.2471,1363620.581,16,28.6368999,0.358472,0
426,632638.6024,1363609.657,10,28.2987003,0.494441,0.0973506
427,632840.241,1363596.281,23,28.3477001,0.256836,-0.0413547
428,632764.6576,1363693.935,14,28.6415005,0.392474,0.0114027
429,632221.7418,1361259.921,55,26.4053993,0.256771,-0.0436172
430,632226.7021,1361352.445,26,25.2705002,0.24822,0.12304
431,632763.6788,1361151.242,57,27.1021004,0.351617,-0.0141486
432,632186.8688,1361144.041,9,26.8470001,0.348456,-0.0579604
433,632569.985,1361325.576,14,27.7045002,0.315112,-0.0415629
434,616914.0351,1360696.951,60,25.6900005,0.324042,0.0021719
435,632650.7829,1363579.615,16,28.1711998,0.499583,0.086319
436,632345.1136,1361319.76,8,26.5202999,0.501068,0.0938521
437,632425.9818,1361367.329,5,26.6026993,0.334539,0.0047652
438,611230.4998,1366632.424,21,27.7625999,0.320453,-0.0245481
439,611447.845,1366488.185,31,27.9186993,0.255503,-0.0447874
